"sample","cell_type","marker","p_value","control_mean","KO_mean","p_adj"
"CD52KO_BC8599","CD4 T","CD4",0.176461713802432,5.35787269694286,5.18296600690412,0.480337615259388
"CD52KO_BC8599","CD8 T","CXCR2",0.176966489832406,-0.457320611529935,-0.0984124965735533,0.480337615259388
"CD52KO_BC8599","CD8 T","TIGIT",0.176966489832406,1.51276006040534,1.15273665412163,0.480337615259388
"CD52KO_BC0610","CD8 T","PD.1",0.190362031133028,0.131714632313419,0.0261133033785648,0.499181894178896
"CD52KO_BC9507","CD4 T","CD16",0.192666695998872,-0.931352235029509,-0.819185749949199,0.499181894178896
"CD52KO_BC9507","CD4 T","CD45RO",0.192666695998872,2.31141788751057,2.98983157458158,0.499181894178896
"CD52KO_BC9507","CD4 T","TIM3",0.192666695998872,0.941368558559887,1.29306958026005,0.499181894178896
"CD52KO_BC0610","CD4 T","PD.1",0.198388941028905,0.56307253360344,0.975868943481983,0.507601553735251
"CD52KO_BC8599","CD8 T","CD56",0.203017106049214,-0.0409052828368648,0.120881776197723,0.507601553735251
"CD52KO_BC8599","CD8 T","TCRab",0.203017106049214,2.96050538867543,2.55754345575136,0.507601553735251
"CD52KO_BC9507","CD4 T","IFNg",0.204821679577382,0.280214558660158,0.287036193756442,0.507601553735251
"CD52KO_BC9507","CD4 T","CCR10",0.217832229237272,-0.673749958751414,-0.235657446545728,0.534040303936539
"CD52KO_BC0610","CD4 T","CD3",0.222520273524754,4.06329041047759,4.30888352684936,0.536953830240566
"CD52KO_BC9507","CD8 T","CD45RO",0.223730762600236,1.2640957816071,2.01367199105582,0.536953830240566
"CD52KO_BC8599","CD8 T","CCR6",0.231754724413337,0.307988731754971,0.444095694301572,0.544743063569494
"CD52KO_BC8599","CD8 T","CD107a",0.231754724413337,1.15028942915292,1.97661030313707,0.544743063569494
"CD52KO_BC0610","CD8 T","TCRab",0.241331242226448,2.67952757321562,2.73196278731901,0.555548106386836
"CD52KO_BC8599","CD4 T","CD28",0.248534679173058,3.17895695969759,2.89493496120198,0.555548106386836
"CD52KO_BC8599","CD4 T","IFNg",0.248534679173058,0.772846345776126,1.06730010817884,0.555548106386836
"CD52KO_BC9507","CD8 T","CD95",0.246565883634409,2.62570139210619,3.00016438917312,0.555548106386836
"CD52KO_BC9507","CD8 T","TIGIT",0.246565883634409,0.438181866851647,0.761807560419366,0.555548106386836
"CD52KO_BC0610","CD8 T","CD95",0.260284833869649,2.95325974691815,3.15234253129175,0.576164486624076
"CD52KO_BC0610","CD8 T","CD25",0.280178579533235,0.594991435314369,0.681908249845155,0.614237655130554
"CD52KO_BC0610","CD4 T","CCR7",0.291285059366085,0.134423064352799,0.00467186108135747,0.6265376748629
"CD52KO_BC0610","CD8 T","CCR4",0.290538387555625,-0.182533213054667,-0.196704827597001,0.6265376748629
"CD52KO_BC0610","CD4 T","CD45RO",0.306762094942404,3.4332449712235,3.69147368684191,0.631059570950888
"CD52KO_BC8599","CD4 T","CXCR5",0.306762094942404,-0.283980215415901,-0.143994428134636,0.631059570950888
"CD52KO_BC8599","CD4 T","TCRgd",0.306762094942404,1.35707631189187,1.20785094544154,0.631059570950888
"CD52KO_BC9507","CD4 T","CD95",0.307226370068195,3.38265663886785,3.57982701785731,0.631059570950888
"CD52KO_BC9507","CD8 T","CD127",0.297014144258047,0.490486842119534,0.314963071861967,0.631059570950888
"CD52KO_BC8599","CD8 T","CCR4",0.315692480342872,-0.2935750729596,-0.211649362592687,0.642659692126562
"CD52KO_BC0610","CD8 T","CD3",0.323213811079986,3.6161445987991,3.70424013167945,0.643679169816763
"CD52KO_BC9507","CD8 T","CD25",0.324557535325431,0.784823681333177,1.20457858418528,0.643679169816763
"CD52KO_BC9507","CD8 T","CXCR1",0.324662739161964,-0.362990302398337,-0.161836382413708,0.643679169816763
"CD52KO_BC0610","CD4 T","CTLA.4",0.339020862869868,1.27144457312508,1.51411780299145,0.649394277448552
"CD52KO_BC8599","CD8 T","CD19",0.334847458332674,1.85961060165171,1.38861708212124,0.649394277448552
"CD52KO_BC9507","CD4 T","CD3",0.341786461815027,4.60027976055782,4.77205262017938,0.649394277448552
"CD52KO_BC9507","CD4 T","CTLA.4",0.341786461815027,1.11346621851704,1.16819662382919,0.649394277448552
"CD52KO_BC9507","CD4 T","CXCR5",0.341786461815027,-0.0748999157256738,-0.110525583719192,0.649394277448552
"CD52KO_BC9507","CD8 T","TCRab",0.353934459902465,2.74218862567073,2.74159328485227,0.666917825270761
"CD52KO_BC8599","CD8 T","CD3",0.374947406856626,4.08432028665306,3.84832305420523,0.690818571441031
"CD52KO_BC8599","CD8 T","KLRG1",0.374947406856626,1.19069429294818,1.05912099730933,0.690818571441031
